,name,description,score,address,latitude,longitude,short_url
28,appartement du pêcheur à Cassis à 10 mètres du port,"['Hébergement géré par un particulier', ""Situé à Cassis, à 250 mètres de la Grande Mer et à 450 mètres du Bestouan, l'appartement du pêcheur à Cassis à 10 mètres du port propose une connexion Wi-Fi gratuite, une terrasse et la climatisation...."", '176 expériences vécues']","['8,7']","6 Rue Bremond, 13260 Cassis, France",43.21534046,5.5368582,https://www.booking.com/hotel/fr/appartement-du-pecheur-a-cassis-a-10-metres-du-port.fr.html?aid=304142
29,Appartement Edelweiss,"[""L'Appartement Edelweiss propose un hébergement avec connexion Wi-Fi gratuite à Eguisheim, à 600 mètres du marché de Noël. "", '4 expériences vécues']",['10'],"36 Grand'rue, 68420 Eguisheim, France",48.04323544,7.30522192,https://www.booking.com/hotel/fr/appartement-edelweiss-eguisheim.fr.html?aid=304142
30,Sojolidays - Studios et Appartements sur la Route des Vins,"['Situé à Rorschwihr, le Sojolidays - Studios et Appartements sur la Route des Vins propose des hébergements dans une maison du XIXème siècle avec un coin salon et une télévision à écran plat. ', '148 expériences vécues']","['9,3']","12 Route du Vin, 68590 Rorschwihr, France",48.21696149,7.36273705,https://www.booking.com/hotel/fr/appartements-sojolidays.fr.html?aid=304142
31,La Rochelle sur L'eau,"[""Offrant une vue sur la mer, l'établissement La Rochelle sur L'eau est situé à La Rochelle, à 100 mètres des Minimes. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. "", '74 expériences vécues']","['9,4']","Quai du Lazaret, 17000 La Rochelle, France",46.1434771,-1.1710402,https://www.booking.com/hotel/fr/aqua-domum.fr.html?aid=304142
32,Hotel Arc-En-Ciel Colmar Contact Hotel,"[""L'Hotel Arc-En-Ciel Colmar Contact Hotel vous accueille dans un cadre verdoyant, à seulement 1 km du centre-ville de Colmar, de ses sites historiques et attractions. "", '1 870 expériences vécues']","['8,0']","38, Route De Sélestat, 68000 Colmar, France",48.08745399,7.36068696,https://www.booking.com/hotel/fr/arc-en-ciel-hexagone.fr.html?aid=304142
33,ATHOME RESIDENCE ET SPA,"[""Situé à La Rochelle, l'ATHOME RESIDENCE ET SPA propose une connexion Wi-Fi gratuite, un bar, un salon commun et un jardin. "", '1 736 expériences vécues']","['8,2']","33 avenue du docteur planet, 17000 La Rochelle, France",46.145995,-1.152398,https://www.booking.com/hotel/fr/athome-residence-et-spa.fr.html?aid=304142
34,Novotel Atria Nimes Centre,"['Le Novotel Atria Nîmes Centre vous accueille dans le centre-ville de Nîmes, à quelques minutes de la gare, des célèbres arènes romaines et de la place principale. ', '1 314 expériences vécues']","['7,9']","5 boulevard de Prague, 30000 Nîmes, France",43.83542065,4.36340421,https://www.booking.com/hotel/fr/atria-nimes-centre.fr.html?aid=304142
35,Odalys City Aix en Provence L'Atrium,"[""Situé à Aix-en-Provence, l'Odalys City Aix en Provence L'Atrium propose des appartements d'une chambre et des studios indépendants avec une connexion Wi-Fi gratuite. "", '3 740 expériences vécues']","['7,5']","15 Cours Gambetta - Espace Forbin, 13100 Aix-en-Provence, France",43.52409101,5.45521617,https://www.booking.com/hotel/fr/atrium-d-anaite.fr.html?aid=304142
36,Au 30,"[""Situé à Lille, à 50 mètres du Zénith et du Grand Palais, l'établissement Au 30 propose des appartements et des suites indépendants. La station de métro Mairie de Lille se trouve à seulement 400..."", '270 expériences vécues']","['9,6']","30 rue Paul Duez, Centre de Lille, 59800 Lille, France",50.63294839,3.07494975,https://www.booking.com/hotel/fr/au-30.fr.html?aid=304142
37,Au Cœur des Remparts,"['Hébergement géré par un particulier', ""Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, l'établissement Au Cœur des Remparts est situé à Aigues-Mortes. Cet hébergement climatisé se trouve à 44 km de Nîmes. "", '119 expériences vécues']","['9,9']","15 rue Roger Salengro, 30220 Aigues-Mortes, France",43.565401,4.192973,https://www.booking.com/hotel/fr/au-coeur-des-remparts-aigues-mortes.fr.html?aid=304142
38,Au Loup Historic Apartments,"[""Installé à Bayeux, à 550 mètres de la cathédrale Notre-Dame et à 10 minutes à pied du musée de la Tapisserie de Bayeux, l'établissement Au Loup Historic Apartments propose des hébergements avec..."", '626 expériences vécues']","['8,6']","45 Rue Saint-Loup, 14400 Bayeux, France",49.272798,-0.707556,https://www.booking.com/hotel/fr/au-loup-historic-apartments-bayeux.fr.html?aid=304142
39,Gîte Binnert Bader,"['Situé dans la région viticole du Bas-Rhin, le Gîte Binnert Bader propose une terrasse et des chambres insonorisées. Cette maison de vacances se trouve à 15 km de la gare de Sélestat. ', '8 expériences vécues']","['9,5']","73a,route du vin, 67680 Nothalten, France",48.35583553,7.42061555,https://www.booking.com/hotel/fr/au-muenchberg.fr.html?aid=304142
40,Hotel Au Nid De Cigognes,"[""L'hôtel Au Nid de Cigognes est situé au cœur de l'Alsace, à 5 minutes de Colmar, Ribeauvillé, Riquewihr et Kaysersberg. Il dispose d'une piscine intérieure, d'un sauna et d'un hammam. "", '637 expériences vécues']","['8,4']","2 Route De Colmar, 68150 Ostheim, France",48.1604785,7.37237871,https://www.booking.com/hotel/fr/au-nid-de-cigognes.fr.html?aid=304142
41,Hotel Colmar Vignes Eguisheim,"[""Situé à 200 mètres du centre-ville d'Eguishein et à 10 minutes en voiture de Colmar, l'Hotel Colmar Vignes Eguisheim met gratuitement à votre disposition une connexion Wi-Fi ainsi qu'un parking privé...."", '937 expériences vécues']","['8,8']","2 rue des Trois Châteaux, 68420 Eguisheim, France",48.04327133,7.30412185,https://www.booking.com/hotel/fr/auberge-des-comtes.fr.html?aid=304142
42,Auberge des Deux Rivières,"[""L'Auberge Des Deux Rivières est située en plein cœur du département de l'Ariège, dans les Pyrénées françaises, au confluent de l'Alet et du Salat. "", '472 expériences vécues']","['8,3']","Pont De La Taule, 09140 Seix, France",42.83202716,1.19836539,https://www.booking.com/hotel/fr/auberge-des-deux-rivia-res-seix.fr.html?aid=304142
43,Auberge Le Meisenberg,"[""Située à Châtenois, l'Auberge Le Meisenberg possède un restaurant et dispose d'une connexion Wi-Fi gratuite. "", '304 expériences vécues']","['9,1']","1, rue Clemenceau, 67730 Châtenois, France",48.27175703,7.39950542,https://www.booking.com/hotel/fr/auberge-le-meisenberg.fr.html?aid=304142
44,Austin's Arts Et Metiers Hotel,"['L’Austin’s Hotel est situé dans le quartier du Marais, dans le centre de Paris, à 500 mètres de la place de la République et à 600 mètres du centre Pompidou. ', '967 expériences vécues']","['8,4']","6 Rue Montgolfier, 3e arr., 75003 Paris, France",48.86601094,2.35709757,https://www.booking.com/hotel/fr/austin-s-arts-et-metiers.fr.html?aid=304142
45,Authentic Night Montauban,"['Hébergement géré par un particulier', ""Offrant une vue sur la ville, l'Authentic Night Montauban est situé à Montauban et dispose d'une connexion Wi-Fi gratuite. "", '100 expériences vécues']","['8,7']","7 Rue du Greffe, 82000 Montauban, France",44.01703937,1.35448361,https://www.booking.com/hotel/fr/authentic-night-montauban.fr.html?aid=304142
46,Aux Volets bleus d'Aulus,"[""Offrant une vue sur la montagne, l'établissement Aux Volets bleus d'Aulus est situé à Aulus-les-Bains. Ses hébergements sont dotés d'une kitchenette. "", '196 expériences vécues']","['7,7']","Chemin du Moulin Le Village, 09140 Aulus-les-Bains, France",42.79099864,1.33934833,https://www.booking.com/hotel/fr/aux-volets-bleus-d-aulus.fr.html?aid=304142
47,B&B Hôtel Bayonne,"[""Situé à Bayonne, à seulement 3 km de l'aéroport de Biarritz, le B&B Hôtel Bayonne propose des hébergements insonorisés, une connexion Wi-Fi gratuite et un parking privé sur place disponible à titre..."", '1 467 expériences vécues']","['7,3']","29 Rue Du Colonel Melville Lynch, 64100 Bayonne, France",43.4645147,-1.4959653,https://www.booking.com/hotel/fr/b-amp-b-bayonne.fr.html?aid=304142
48,B&B Hôtel Besancon,"[""Doté d'une connexion Wi-Fi gratuite, le B&B Hôtel Besancon propose des hébergements acceptant les animaux domestiques à 2\xa0km du centre de Besançon et à 10\xa0km de la citadelle de la ville. "", '695 expériences vécues']","['7,7']","159 Rue de Dole, 25000 Besançon, France",47.22018011,5.95533135,https://www.booking.com/hotel/fr/b-amp-b-besancon.fr.html?aid=304142
49,B&B Hôtel Grenoble Centre Alpexpo,"[""Le B&B Grenoble Centre Alpexpo est situé à Grenoble, à seulement 800 mètres d'Alpexpo. Doté d'une réception ouverte 24h/24, il propose une connexion Wi-Fi gratuite et des hébergements insonorisés. "", '1 106 expériences vécues']","['7,6']","31, Avenue de l'Europe, 38100 Grenoble, France",45.15883667,5.73443547,https://www.booking.com/hotel/fr/b-amp-b-grenoble-centre-alpexpo.fr.html?aid=304142
50,B&B La Terre Brûlée,"[""Situé à Aigues-Mortes, à 45 km de Nîmes, le B&B La Terre Brûlée dispose d'une piscine extérieure ouverte en saison et d'une connexion Wi-Fi gratuite. "", '123 expériences vécues']","['9,3']","913 Chemin D'esparron, 30220 Aigues-Mortes, France",43.56197612,4.20767969,https://www.booking.com/hotel/fr/b-amp-b-la-terre-brulee.fr.html?aid=304142
51,B&B Hôtel Montauban,"['Le B&B Hôtel Montauban propose des hébergements au nord de Montauban, à respectivement 45 et 50 minutes de route de Cahors et du centre de Toulouse. ', '961 expériences vécues']","['8,0']","600 Route du Nord, 82000 Montauban, France",44.04011965,1.3860239,https://www.booking.com/hotel/fr/b-amp-b-montauban.fr.html?aid=304142
52,Hôtel Barrière Lille,"[""Établissement 5 étoiles, l'Hôtel Barrière Lille vous accueille à Lille, à 400 mètres de la gare de Lille-Europe, à 15 minutes de route du stade Pierre Mauroy et à 9 minutes à pied du Lille Grand..."", '1 012 expériences vécues']","['8,8']","777 bis Pont De Flandres, Centre de Lille, 59777 Lille, France",50.63754054,3.07692289,https://www.booking.com/hotel/fr/barriere-lille.fr.html?aid=304142
53,Vila De La Mar & Spa,"['Le Vila De La Mar & Spa est un petit hôtel décoré dans un style moderne situé dans le centre des Saintes-Maries-de-la-Mer, à 100\xa0mètres de la plage. ', '434 expériences vécues']","['8,2']","1 bis rue Camille Pelletan, 13460 Les Saintes-Maries-de-la-Mer, France",43.45334531,4.43066597,https://www.booking.com/hotel/fr/bastide-blanche-saintes-maries-de-la-mer.fr.html?aid=304142
54,La Bastide du Calalou; BW Signature Collection,"['La Bastide Du Calalou est située à 30 minutes de route des Gorges du Verdon et à 20 minutes en voiture du lac de Sainte-Croix. ', '592 expériences vécues']","['8,4']","Le Village, 83630 Moissac-Bellevue, France",43.65436638,6.16950452,https://www.booking.com/hotel/fr/bastide-du-calalou.fr.html?aid=304142
55,Bayonne en plein cœur Centre Historique 2 chambres,"['Hébergement géré par un particulier', ""Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, le Bayonne en plein cœur Centre Historique 2 chambres est situé à Bayonne, à seulement 200 mètres de la cathédrale Sainte-Marie et..."", '28 expériences vécues']","['8,9']","1er étage gauche 32 Rue des Basques, 64100 Bayonne, France",43.4890699,-1.4755226,https://www.booking.com/hotel/fr/bayonne-en-plein-coeur-centre-historique-2-chambres.fr.html?aid=304142
56,Bel Appartement Terrasse 4 Étoiles Intra Muros,"['Hébergement géré par un particulier', ""Situé à Aigues-Mortes, en Occitanie, le Bel Appartement Terrasse 4 Étoiles Intra Muros dispose d'une terrasse et offre une vue sur le jardin. Cet hébergement climatisé se trouve à 33 km de Nîmes. "", '22 expériences vécues']","['9,3']","7, rue de la République, 30220 Aigues-Mortes, France",43.56718677,4.19134417,https://www.booking.com/hotel/fr/bel-appartement-terrasse-intra-muros.fr.html?aid=304142
57,Chambres d'hôtes Belle Occitane,"[""L'établissement Chambres d'hôtes Belle Occitane est une demeure de caractère du XVIIIe siècle située dans la ville médiévale de Tarascon-sur-Ariège. "", '361 expériences vécues']","['9,2']","11 avenue François Laguerre, 09400 Tarascon-sur-Ariège, France",42.8471852,1.60675853,https://www.booking.com/hotel/fr/belle-occitane.fr.html?aid=304142
58,ibis Styles Besançon,"[""Idéalement situé dans un parc, l'hôtel ibis Styles Besançon se trouve à 15 minutes à pied de la gare TGV et du centre de Besançon. "", '2 777 expériences vécues']","['7,9']","22 bis Rue de Trey, 25000 Besançon, France",47.25425346,6.0216397,https://www.booking.com/hotel/fr/besancon.fr.html?aid=304142
59,Doubs Hotel - Besançon Ecole Valentin,"[""Le Doubs Hotel - Besançon Ecole Valentin est un hôtel 3 étoiles avec terrasse situé à Besançon. Il bénéficie d'un salon commun et d'une connexion Wi-Fi gratuite. "", '752 expériences vécues']","['8,2']","58, Rue des Maisonnettes - RD 75, 25480 Besançon, France",47.27069957,5.99509656,https://www.booking.com/hotel/fr/besanconecolevalentin.fr.html?aid=304142
60,Best Hotel Annecy,"['Le Best Hôtel Annecy\xa0-\xa0Cran Gevrier est installé à seulement 3,5\xa0km du lac d’Annecy et à 4\xa0minutes de route du centre-ville d’Annecy. Il propose des chambres dotées d’une connexion Wi-Fi gratuite. ', '3 202 expériences vécues']","['7,9']","138 rue des paquerettes Cran Gevrier, 74960 Annecy, France",45.90074937,6.10030085,https://www.booking.com/hotel/fr/best-ha-tel-annecy.fr.html?aid=304142
61,Best Western Kemaris,"[""Alliant un environnement animé, de nombreux équipements et une ambiance chaleureuse, l'hôtel Best Western Kemaris présente une architecture typique du Pays basque. "", '2 054 expériences vécues']","['8,3']","35 Avenue du Maréchal Joffre, 64200 Biarritz, France",43.4765027,-1.56245649,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?aid=304142
62,Best Western Plus Hotel Carlton Annecy,"[""Le Best Western Carlton Annecy est installé dans le centre d'Annecy, aux portes de la ville médiévale. Le lac d'Annecy se trouve à 10 minutes à pied. "", '2 464 expériences vécues']","['8,3']","5 Rue des Glières, 74000 Annecy, France",45.90034806,6.1223942,https://www.booking.com/hotel/fr/bestwesterncarlton.fr.html?aid=304142
63,Best Western Citadelle,"['Le Best Western Citadelle est situé dans le centre-ville historique de Besançon, à 5\xa0minutes à pied de la rivière Doubs et de la Citadelle. ', '1 513 expériences vécues']","['8,3']","13 rue du Général Lecourbe, 25000 Besançon, France",47.231541,6.02658033,https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?aid=304142
64,Best Western Plus Le Donjon - Cœur de La Cité Médiévale,"['Situé au cœur de la cité médiévale de Carcassonne, le Best Western Plus Le Donjon - Cœur de La Cité Médiévale est entouré par les anciens remparts de la ville. ', '2 164 expériences vécues']","['8,4']","2 Rue Du Comte Roger, La Cité, 11000 Carcassonne, France",43.2064642,2.36363366,https://www.booking.com/hotel/fr/bestwesternledonjon.fr.html?aid=304142
65,Boscolo Lyon Hotel & Spa,"['Le Boscolo Lyon Hotel & Spa occupe un bâtiment historique de la presqu&#39;île de Lyon, sur les rives du Rhône, à 850\xa0mètres de l&#39;opéra national de Lyon. ', '1 624 expériences vécues']","['8,6']","11 Quai Jules Courmont, 2e arr., 69002 Lyon, France",45.760833,4.837589,https://www.booking.com/hotel/fr/boscolo-exedra-lyon.fr.html?aid=304142
66,HÔTEL C SUITES chambres spacieuses,"['L’HÔTEL C SUITES chambres spacieuses est un complexe urbain installé à Nîmes, à seulement 3\xa0km des arènes. ', '2 497 expériences vécues']","['7,2']","152 rue claude nicolas ledoux, 30900 Nîmes, France",43.815377,4.345905,https://www.booking.com/hotel/fr/c-suites.fr.html?aid=304142
67,Hôtel Calm Lille,"[""L'Hôtel Calm Lille est situé dans le centre-ville de Lille, à seulement 3 minutes à pied de la gare de Lille Flandres, ainsi qu'à 1 km du centre de conventions Grand Palais et de la salle de spectacle..."", '2 936 expériences vécues']","['7,8']","14, rue du Molinel, Centre de Lille, 59000 Lille, France",50.63528798,3.06970725,https://www.booking.com/hotel/fr/calm-lille.fr.html?aid=304142
68,Camping Calme et Nature,"[""Le Camping Calme et Nature est situé au cœur des Gorges du Verdon, à 765 mètres d'altitude et à seulement 2 km de Castellane. Il possède un barbecue et une terrasse bien exposée. "", '313 expériences vécues']","['8,9']","La colle Sentier du GR4 Les gorges du Verdon, 04120 Castellane, France",43.83796907,6.49042815,https://www.booking.com/hotel/fr/calme-et-nature-castellane.fr.html?aid=304142
69,Hotel Camille,"[""Doté d'une terrasse, l'Hotel Camille est un établissement climatisé situé en front de mer aux Saintes-Maries-de-la-Mer, à 35 km d'Arles. "", '793 expériences vécues']","['7,9']","13, Avenue de la plage, 13460 Les Saintes-Maries-de-la-Mer, France",43.45039148,4.42991227,https://www.booking.com/hotel/fr/camille.fr.html?aid=304142
